CustomerID,ZipCode,State
18198012,03220,NH
18209012,77632,TX
18222012,24431,VA
18252012,40145,KY
18254012,77355,TX
18311012,68665,NE
18414012,36567,AL
18423012,36360,AL
18434012,57559,SD
18445012,51301,IA
18472012,38464,TN
18518012,68701,NE
18526012,68701,NE
18586012,67058,KS
18624012,15857,PA
18626012,37322,TN
18630012,65548,MO
18634012,19808,DE
18662012,62012,IL
18667012,55605,MN
18672012,57301,SD
18683012,32640,FL
18705012,34251,FL
18711012,39540,MS
18754012,15486,PA
18783012,16038,PA
18787012,34972,FL
18836012,17111,PA
18861012,56055,MN
18951012,17090,PA
19001012,77530,TX
19061012,14065,NY
19128012,85087,AZ
19131012,75235,TX
19137012,68504,NE
19161012,27009,NC
19180012,68147,NE
19183012,31308,GA
19222012,23150,VA
19240012,72936,AR
19249012,71343,LA
19265012,66071,KS
19309012,63379,MO
19384012,63384,MO
19413012,77379,TX
19425012,81637,CO
19430012,14136,NY
19439012,72802,AR
19530012,66535,KS
19535012,49534,MI
19546012,67530,KS
19549012,50130,IA
19631012,17044,PA
19668012,61604,IL
19679012,38671,MS
19690012,75951,TX
19701012,36558,AL
19735012,26241,WV
19793012,48612,MI
19850012,77422,TX
19880012,52731,IA
19883012,71343,LA
19950012,14437,NY
20000012,50466,IA
20059012,10940,NY
20109012,81401,CO
20113012,57402,SD
20133012,18254,PA
20156012,33126,FL
20171012,79936,TX
20222012,70577,LA
20225012,24614,VA
20231012,53544,WI
20337012,26241,WV
20342012,40219,KY
20385012,41179,KY
20420012,32626,FL
20430012,13452,NY
20438012,18052,PA
20466012,56331,MN
20532012,04457,ME
20601012,44654,OH
20672012,57062,SD
20683012,16134,PA
20716012,68028,NE
20743012,13302,NY
20746012,30906,GA
20772012,68424,NE
20780012,77356,TX
20801012,53121,WI
20818012,57325,SD
20851012,59840,MT
20870012,77094,TX
20912012,33880,FL
20931012,61550,IL
20973012,68601,NE
20986012,68713,NE
20999012,35622,AL
21038012,88201,NM
21051012,34715,FL
21057012,55616,MN
21065012,26554,WV
21107012,62014,IL
21125012,17517,PA
21149012,13144,NY
21154012,12547,NY
21193012,57551,SD
21284012,39465,MS
21302012,66701,KS
21306012,83401,ID
21323012,40324,KY
21330012,54656,WI
21359012,30170,GA
21427012,74960,OK
21450012,68769,NE
21466012,42240,KY
21546012,33563,FL
21547012,42276,KY
21557012,82501,WY
21601012,29385,SC
21706012,55931,MN
21710012,27525,NC
21724012,48423,MI
21785012,36049,AL
21898012,34951,FL
21954012,74902,OK
21992012,18801,PA
22068012,37185,TN
22073012,69201,NE
22074012,32304,FL
22077012,51440,IA
22084012,33182,FL
22096012,32055,FL
22099012,66956,KS
22110012,70345,LA
22159012,44813,OH
22167012,85933,AZ
22184012,14070,NY
22195012,93427,CA
22318012,30040,GA
22342012,80403,CO
22347012,68420,NE
22432012,56288,MN
22504012,25854,WV
22594012,39669,MS
22617012,30458,GA
22711012,64507,MO
22811012,80831,CO
22821012,37801,TN
22833012,72118,AR
22843012,67601,KS
22956012,56520,MN
22980012,56467,MN
23034012,51235,IA
23039012,28635,NC
23046012,46151,IN
23048012,82443,WY
23101012,79912,TX
23119012,36067,AL
23152012,71854,AR
23159012,30153,GA
23189012,68310,NE
23205012,68059,NE
23213012,97089,OR
23247012,27504,NC
23250012,77306,TX
23258012,92111,CA
23261012,75904,TX
23278012,28630,NC
23328012,76706,TX
23342012,78557,TX
23388012,56587,MN
23419012,84604,UT
23439012,48306,MI
23465012,53019,WI
23475012,69028,NE
23497012,39350,MS
23514012,44730,OH
23541012,44720,OH
23582012,42167,KY
23592012,13087,NY
23602012,83855,ID
23648012,59761,MT
23671012,14006,NY
23698012,64850,MO
23700012,34420,FL
23732012,79907,TX
23742012,30701,GA
23765012,78640,TX
23795012,29810,SC
23817012,48875,MI
23862012,40380,KY
23872012,77511,TX
23873012,71639,AR
23951012,75756,TX
23981012,44074,OH
23987012,64068,MO
23989012,35903,AL
24042012,33192,FL
24063012,55011,MN
24085012,78577,TX
24092012,16509,PA
24173012,56121,MN
24228012,42164,KY
24230012,32626,FL
24279012,77461,TX
24307012,39577,MS
24354012,57401,SD
24367012,84629,UT
24380012,56601,MN
24381012,93433,CA
24415012,21550,MD
24433012,59444,MT
24455012,72032,AR
24464012,54646,WI
24474012,77532,TX
24496012,16002,PA
24508012,49930,MI
24513012,55037,MN
24537012,78501,TX
24602012,49837,MI
24603012,31779,GA
24614012,56672,MN
24615012,13613,NY
24695012,84043,UT
24707012,36109,AL
24734012,80403,CO
24787012,66542,KS
24842012,84062,UT
24879012,42445,KY
24906012,56307,MN
24957012,84007,UT
25039012,60417,IL
25076012,71047,LA
25082012,65041,MO
25093012,24401,VA
25121012,76028,TX
25212012,52202,IA
25226012,26847,WV
25250012,72576,AR
25287012,32071,FL
25297012,37321,TN
25318012,13084,NY
25338012,14105,NY
25342012,17202,PA
25409012,72019,AR
25418012,54751,WI
25423012,27295,NC
25437012,31772,GA
25442012,31620,GA
25461012,59301,MT
25508012,75969,TX
25524012,82414,WY
25528012,39042,MS
25705012,28787,NC
25714012,43787,OH
25763012,68826,NE
25874012,63384,MO
25897012,95461,CA
25900012,71341,LA
25943012,91934,CA
25984012,66408,KS
25993012,28320,NC
26017012,16242,PA
26047012,49021,MI
26068012,62012,IL
26096012,33801,FL
26099012,70634,LA
26140012,30529,GA
26208012,64701,MO
26245012,32506,FL
26264012,77622,TX
26276012,33206,FL
26294012,62380,IL
26324012,22903,VA
26351012,55011,MN
26403012,33198,FL
26424012,08857,NJ
26479012,92154,CA
26521012,33572,FL
26586012,05440,VT
26593012,52632,IA
26594012,77372,TX
26597012,74953,OK
26621012,23847,VA
26661012,33166,FL
26663012,32409,FL
26686012,52032,IA
26689012,56353,MN
26716012,32348,FL
26734012,83401,ID
26750012,27880,NC
26804012,30663,GA
26833012,57218,SD
26848012,68104,NE
26856012,56340,MN
26886012,33905,FL
26888012,32244,FL
26894012,98662,WA
26930012,32218,FL
26955012,77627,TX
26968012,84663,UT
27002012,77532,TX
27011012,15748,PA
27024012,34116,FL
27064012,48416,MI
27074012,44410,OH
27268012,68636,NE
27285012,82716,WY
27300012,68740,NE
27348012,77357,TX
27404012,36351,AL
27443012,77354,TX
27542012,65567,MO
27574012,54651,WI
27577012,82801,WY
27584012,71913,AR
27626012,54205,WI
27631012,55340,MN
27669012,24879,WV
27676012,17202,PA
27696012,24162,VA
27747012,18651,PA
27832012,77520,TX
27875012,48801,MI
28019012,57064,SD
28027012,83687,ID
28081012,17372,PA
28090012,31525,GA
28130012,22835,VA
28141012,75752,TX
28171012,77351,TX
28183012,03598,NH
28227012,79226,TX
28238012,45338,OH
28246012,77578,TX
28269012,41778,KY
28292012,84790,UT
28323012,99027,WA
28361012,45135,OH
28387012,97623,OR
28480012,77068,TX
28633012,77336,TX
28671012,72396,AR
28731012,68136,NE
28790012,85730,AZ
28818012,54658,WI
28964012,37774,TN
28984012,47335,IN
28987012,66617,KS
29009012,62865,IL
29047012,55079,MN
29070012,44811,OH
29080012,12193,NY
29145012,74538,OK
29190012,42528,KY
29196012,17964,PA
29225012,49820,MI
29252012,61483,IL
29273012,14897,NY
29281012,95441,CA
29305012,14024,NY
29329012,39574,MS
29361012,32446,FL
29601012,39350,MS
29629012,36509,AL
29672012,40157,KY
29678012,63755,MO
29727012,37118,TN
29733012,84627,UT
29767012,64114,MO
29775012,62948,IL
29834012,56601,MN
29842012,85937,AZ
29857012,68621,NE
29870012,92231,CA
29876012,38506,TN
30043012,26624,WV
30058012,72530,AR
30065012,78582,TX
30090012,85643,AZ
30180012,62959,IL
30235012,18240,PA
30302012,75683,TX
30307012,32223,FL
30314012,60056,IL
30370012,70607,LA
30398012,37035,TN
30412012,21144,MD
30513012,71419,LA
30588012,28405,NC
30628012,70458,LA
30635012,14072,NY
30642012,29710,SC
30673012,44857,OH
30699012,10950,NY
30716012,52228,IA
30730012,68869,NE
30745012,35648,AL
30757012,67401,KS
30764012,83815,ID
30859012,54209,WI
30878012,44442,OH
30950012,36582,AL
30969012,54401,WI
30971012,82941,WY
30989012,52054,IA
31038012,07205,NJ
31063012,18067,PA
31066012,13440,NY
31109012,71601,AR
31283012,68730,NE
31296012,37211,TN
31342012,70535,LA
31368012,40045,KY
31394012,59644,MT
31418012,65737,MO
31457012,36421,AL
31504012,16428,PA
31562012,54721,WI
31637012,54459,WI
31644012,13409,NY
31646012,39565,MS
31691012,12123,NY
31699012,10924,NY
31759012,39307,MS
31776012,71237,LA
31848012,42765,KY
31872012,57078,SD
31879012,21620,MD
31904012,30233,GA
31927012,54801,WI
31964012,48858,MI
32015012,29483,SC
32017012,26362,WV
32151012,78041,TX
32152012,54836,WI
32258012,38451,TN
32281012,13635,NY
32298012,79925,TX
32353012,32693,FL
32359012,61482,IL
32428012,81416,CO
32472012,35554,AL
